experiment_id|username|resources|labels|slots|start_time|training_time_sec
274|determined|""""""||1|2020-11-11 03:59:44.793182+00|54.674012
275|determined|""""""||1|2020-11-11 03:59:46.196627+00|83.542228
276|determined|""""""||1|2020-11-11 05:42:33.601513+00|0.024923
277|determined|""""""||1|2020-11-11 05:42:35.15241+00|0.03034
278|determined|""""""||1|2020-11-11 05:42:36.592558+00|48.412762
279|determined|""""""||1|2020-11-11 05:42:37.974934+00|55.888495
280|determined|""""""||1|2020-11-11 05:44:04.750974+00|0.023135
281|determined|""""""||1|2020-11-11 05:44:06.260545+00|0.024671
282|determined|""""""||1|2020-11-11 05:44:08.184835+00|61.743838
283|determined|""""""||1|2020-11-11 05:44:09.902452+00|49.217926
284|determined|""""""||1|2020-11-11 05:47:01.789326+00|57.378138
285|determined|""""""||1|2020-11-11 05:48:09.716675+00|0.026458
286|determined|""""""||1|2020-11-11 05:49:35.940305+00|0.024638
287|determined|""""""||1|2020-11-11 05:49:37.389962+00|0.024721
288|determined|""""""||1|2020-11-11 05:49:39.038515+00|0.023297
289|determined|""""""||1|2020-11-11 05:49:53.577565+00|67.396669
290|determined|""""""||1|2020-11-11 05:49:54.992166+00|52.969121
291|determined|""""""||1|2020-11-11 05:49:57.275558+00|55.11996
292|determined|""""""||1|2020-11-11 05:49:58.871975+00|57.234044
293|determined|""""""||1|2020-11-11 05:51:19.114766+00|0.026038
294|determined|""""""||1|2020-11-11 05:51:32.186282+00|0.02559
295|determined|""""""||1|2020-11-11 05:51:33.605767+00|0.023168
296|determined|""""""||1|2020-11-11 05:51:34.984474+00|49.843851
297|determined|""""""||1|2020-11-11 05:51:36.448326+00|49.720301
298|determined|""""""||1|2020-11-11 05:53:57.215663+00|0.025941
299|determined|""""""||1|2020-11-11 05:54:03.445049+00|0.023459
300|determined|""""""||1|2020-11-11 05:54:04.818504+00|0.024536
301|determined|""""""||1|2020-11-11 05:54:06.165031+00|0.023842
302|determined|""""""||1|2020-11-11 05:54:07.612584+00|0.022271
303|determined|""""""||1|2020-11-11 05:54:14.617033+00|0.025771
304|determined|""""""||1|2020-11-11 05:54:16.052115+00|0.025573
305|determined|""""""||1|2020-11-11 05:54:17.416823+00|0.025457
306|determined|""""""||1|2020-11-11 06:01:52.209876+00|49.129201
307|determined|""""""||1|2020-11-11 06:03:09.516481+00|50.518633
308|determined|""""""||1|2020-11-11 06:22:58.863936+00|57.530452
309|determined|""""""||1|2020-11-11 06:25:48.396451+00|42.890468
310|determined|""""""||1|2020-11-11 06:28:20.355916+00|77.296952
311|determined|""""""||1|2020-11-11 06:28:47.909335+00|60.730425
312|determined|""""""||1|2020-11-12 19:57:38.994506+00|19.800482
313|determined|""""""||1|2020-11-12 19:59:23.531743+00|0
314|determined|""""""||1|2020-11-12 19:59:28.507377+00|49.300633
