master_id,master_version,user_id
7f48ebd4-93ac-49cd-8adc-a7386de80acd,0.13.8,a976beda-adf2-4fa7-8176-d9ad1f70126d
0d086a5a-7360-4910-9780-e2b9f7a37312,0.13.10,e16cb7f9-6bd2-4469-b064-20cc1fd2b1f0
ba559abb-d210-42b1-98e3-825c23d6fba4,0.13.8,a976beda-adf2-4fa7-8176-d9ad1f70126d
693d28d9-0c12-429d-b52f-58544bb58490,0.13.8,9a355e07-7cb0-493a-b344-036bdca825fd
a7d8ac9d-612a-4685-9d82-5b5c1962d107,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
74dc1bb0-27cd-4b58-b12e-1e74810e7fbe,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
07ce2bde-6281-437f-9fff-3884ce0c0b83,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
cc209fbe-f80c-4c58-a734-0b2ae362b160,0.13.8,9a355e07-7cb0-493a-b344-036bdca825fd
c0b13361-b8c5-4a59-a4a5-b02770443524,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
51af4337-4fb2-44a3-abb4-8c4492f71127,0.13.13,1ef2a94f-033a-4a9b-acd9-0889286b36ee
486a8cfd-420f-4c20-8aa5-4a02542ad130,0.13.13,4d23300b-69ca-4f33-83fc-d36d69ec23b8
75374711-f1fe-4b97-a179-208e71675e3f,0.13.12,bd52124c-fc3a-412e-bedc-63a5fda3fbac
b3eb7af0-2355-4060-b13c-65d91c847590,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
237c8a0a-3dc6-415f-8c5d-4651bfb5ff4d,0.13.8,9a355e07-7cb0-493a-b344-036bdca825fd
ff2be3e1-dcae-4da3-a129-4249c6d348e3,0.13.8,90b37aea-7c08-4b11-8063-967d4eb56338
52bbbe2a-42a8-4b1c-aed0-f0916c10025c,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
ec84a6ad-e1a3-4162-88ea-cd59ee7ed609,0.13.8,a976beda-adf2-4fa7-8176-d9ad1f70126d
1711312e-c5ba-4dc8-9c7b-503438e68e38,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
2901217e-ef98-44f5-a1e7-7584ecbb33b1,0.13.10,e16cb7f9-6bd2-4469-b064-20cc1fd2b1f0
cbac6ea6-ad46-4431-a12f-582c954299a5,0.13.13,f5ea22ac-66d2-442d-a767-ae0b7358261b
d2cc4e9f-1be7-48ce-8a84-f62c796e38fe,0.12.3,b883f659-44a3-45ad-8679-68d6b3a9f0e2
474e52f6-8662-4504-bf25-37930fc45084,0.13.13,fb48f5f1-6a88-4024-8933-0e00b8e2b90c
d9f9506f-feff-434a-ae39-6e9f83e8c57f,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
37f11c94-cf1f-4c65-9585-c8c7f2048663,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
5ee7e292-a21f-40b8-a8ec-9d1f4efd831a,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
6f04d84d-4c31-457c-8117-1b4af71536b8,0.13.12,95638e69-5a42-44f9-9520-b587d4d8e353
2db3342d-0277-4f0b-bac3-ad165e58e2d2,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
ad452206-c6bf-4ce5-98c2-73d5ef389322,0.13.13,28ab62cb-324e-4afe-8b49-ee7d6d53b70b
3144d24d-b460-4551-a991-6a043f9bf027,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
1c5b9617-6d0f-4507-85dd-f0d445d8ba82,0.13.8,a976beda-adf2-4fa7-8176-d9ad1f70126d
114c024f-8ff4-4e92-9ec3-f91959703001,0.13.6,5677231d-da1e-422b-8631-1d9162a8c7e3
0b501814-2152-4ce3-bff9-2cc926919ed3,0.13.13,28ab62cb-324e-4afe-8b49-ee7d6d53b70b
f5d4bd2a-4122-4561-9f99-b6a2fb1740e9,0.13.8,a976beda-adf2-4fa7-8176-d9ad1f70126d
819acef7-39e8-4742-9932-aef7bef41b7d,0.12.3,b883f659-44a3-45ad-8679-68d6b3a9f0e2
e7195114-cb4e-495d-8a36-d13ed658ba41,0.13.13,4d23300b-69ca-4f33-83fc-d36d69ec23b8
aa5f208c-eb1d-42a2-adf9-5f5004358cd3,0.13.8,9a355e07-7cb0-493a-b344-036bdca825fd
bb4cd9d3-806b-4d27-829f-24e0b5a57d63,0.13.13,e2f969de-6f5a-4cb0-847f-0d576baf360e
8ff96aaf-da31-4af7-8ff5-6c9e3d062059,0.13.12,0abc9a2b-be01-439e-b80f-566f80220966
