context_library_name,context_library_version,go_version,id,loaded_at,master_id,master_version,original_timestamp,received_at,sent_at,timestamp,user_id,uuid_ts,resource_manager_type
analytics-go,3.0.0,go1.13.15,f0990e12-8107-4ee9-925c-456126f1e87c,2021-02-08 07:46:07.978629 UTC,f3c91b38-e830-4dc4-9879-6652274bd1b6,0.13.8,2021-02-08 06:15:24.024171 UTC,2021-02-08 06:15:30.480 UTC,2021-02-08 06:15:29 UTC,2021-02-08 06:15:25.480 UTC,2e4e272b-e150-4f67-b8cc-7bc6a4729a93,2021-02-08 07:46:07.978629 UTC,agentsRM
analytics-go,3.0.0,go1.15.8,f7b057bd-ec80-4147-b6c2-5cbb410bd046,2021-02-13 19:46:07.498181 UTC,66c70bff-fd31-4b79-97c8-f122051cc54c,0.14.0,2021-02-13 09:08:57.504471 UTC,2021-02-13 09:09:03.192 UTC,2021-02-13 09:09:02 UTC,2021-02-13 09:08:58.189 UTC,d081b483-b870-46d9-bb41-94a1e23bc5bf,2021-02-13 19:46:07.498181 UTC,agentsRM
analytics-go,3.0.0,go1.15.8,12c2e610-9503-4715-a62e-ac8f02f7f4e8,2021-02-08 19:46:07.363413 UTC,098b47b6-def1-4af9-94e6-3e25a869747f,0.14.0,2021-02-08 14:54:52.173261 UTC,2021-02-08 14:54:57.501 UTC,2021-02-08 14:54:57 UTC,2021-02-08 14:54:52.501 UTC,e2e7acb4-c4f9-47df-a6e4-7519babb58f2,2021-02-08 19:46:07.363413 UTC,agentsRM
analytics-go,3.0.0,go1.15.8,5276c951-7d4d-4111-96e7-97b192f4852e,2021-02-12 19:46:08.109321 UTC,3889e2b1-c658-4fe3-8787-14ec1c3ce5c4,0.14.1,2021-02-12 16:49:10.636467 UTC,2021-02-12 16:49:21.678 UTC,2021-02-12 16:49:16 UTC,2021-02-12 16:49:16.677 UTC,f5ea22ac-66d2-442d-a767-ae0b7358261b,2021-02-12 19:46:08.109321 UTC,agentsRM
analytics-go,3.0.0,go1.15.8,50e089eb-f92f-4afa-9fc3-d868f3183666,2021-02-10 07:46:08.872954 UTC,6889ecf2-833d-42f1-8691-0b49bda88711,0.14.0.dev0,2021-02-09 23:31:12.327996 UTC,2021-02-09 23:31:17.625 UTC,2021-02-09 23:31:17 UTC,2021-02-09 23:31:12.624 UTC,93c4a09e-2978-4925-8582-f5daebaad5fc,2021-02-10 07:46:08.872954 UTC,agentsRM
analytics-go,3.0.0,go1.15.8,4c3d5f78-c2b5-4e9e-9d70-6134894b8b76,2021-02-08 19:46:07.363413 UTC,3a7f567f-9875-4ef6-8932-76f1c2bb4b5d,0.14.0,2021-02-08 16:59:16.784976 UTC,2021-02-08 16:59:22.377 UTC,2021-02-08 16:59:21 UTC,2021-02-08 16:59:17.375 UTC,d081b483-b870-46d9-bb41-94a1e23bc5bf,2021-02-08 19:46:07.363413 UTC,agentsRM
analytics-go,3.0.0,go1.13.15,6d60dd49-7df7-4e9c-9426-dac9e7561560,2021-02-11 19:46:06.612661 UTC,7abf99d1-99d1-445f-8a65-a7ee7361cb63,0.13.10,2021-02-11 15:29:31.726320 UTC,2021-02-11 15:29:37.901 UTC,2021-02-11 15:29:36 UTC,2021-02-11 15:29:32.900 UTC,f474f2f6-4718-4b71-8ea2-76b78f4b2cec,2021-02-11 19:46:06.612661 UTC,agentsRM
analytics-go,3.0.0,go1.15.6,80546400-cb39-4205-9c3e-aee197b5f862,2021-02-14 19:46:08.378911 UTC,4a9c40f4-4b09-46c5-ba6a-126c117d500c,0.13.12,2021-02-14 10:28:49.642193 UTC,2021-02-14 10:28:54.210 UTC,2021-02-14 10:28:54 UTC,2021-02-14 10:28:49.210 UTC,7462828c-3c0a-4ca5-a7e3-58d6f8f1dd7b,2021-02-14 19:46:08.378911 UTC,agentsRM
analytics-go,3.0.0,go1.13.15,3359a067-0c54-485d-83d4-66c28e3d5435,2021-02-11 07:46:08.816127 UTC,054b0315-4c43-4213-b1e7-a7948c6ae86f,0.13.1,2021-02-11 05:50:13.509087 UTC,2021-02-11 05:50:19.134 UTC,2021-02-11 05:50:18 UTC,2021-02-11 05:50:14.134 UTC,311a4dfd-335b-4b3a-9c65-304010846997,2021-02-11 07:46:08.816127 UTC,
analytics-go,3.0.0,go1.15.8,0732aff3-2610-44f7-b30c-2ec0679c2608,2021-02-09 07:46:08.676116 UTC,6596a9f5-615a-414f-a04f-aec140d12746,0.14.0,2021-02-08 20:30:27.796198 UTC,2021-02-08 20:30:33.146 UTC,2021-02-08 20:30:32 UTC,2021-02-08 20:30:28.146 UTC,d081b483-b870-46d9-bb41-94a1e23bc5bf,2021-02-09 07:46:08.676116 UTC,agentsRM
